"","region","1990","1992","1994","1996","1998","2000","2003","2006","2009","2011","2013","2015"
"1","Antofagasta",0.527,0.456,0.51,0.484,0.521,0.522,0.45,0.452,0.404,0.463,0.457,0.427
"2","Araucanía",0.574,0.44,0.546,0.554,0.611,0.602,0.575,0.519,0.528,0.525,0.458,0.451
"3","Arica y Parinacota",0.482,0.525,0.545,0.488,0.456,0.585,0.496,0.523,0.434,0.467,0.422,0.424
"4","Atacama",0.535,0.524,0.469,0.551,0.492,0.479,0.462,0.462,0.43,0.464,0.422,0.418
"5","Aysén",0.523,0.522,0.51,0.494,0.595,0.523,0.538,0.44,0.541,0.515,0.462,0.439
"6","Bíobío",0.574,0.533,0.534,0.569,0.57,0.59,0.54,0.509,0.475,0.508,0.425,0.434
"7","Coquimbo",0.535,0.503,0.494,0.528,0.537,0.536,0.549,0.49,0.46,0.433,0.414,0.424
"8","Los Lagos",0.581,0.539,0.586,0.552,0.522,0.531,0.509,0.489,0.484,0.496,0.455,0.423
"9","Los Ríos",0.487,0.482,0.515,0.559,0.587,0.55,0.567,0.512,0.475,0.491,0.456,0.464
"10","Magallanes",0.527,0.509,0.42,0.48,0.535,0.574,0.525,0.493,0.495,0.497,0.44,0.442
"11","Maule",0.529,0.544,0.544,0.561,0.53,0.573,0.522,0.487,0.489,0.457,0.426,0.411
"12","Metropolitana",0.562,0.58,0.579,0.547,0.579,0.561,0.58,0.552,0.553,0.534,0.496,0.497
"13","O'Higgins",0.533,0.512,0.503,0.521,0.536,0.5,0.466,0.465,0.445,0.409,0.412,0.416
"14","Tarapacá",0.568,0.51,0.466,0.489,0.49,0.489,0.481,0.432,0.424,0.441,0.443,0.504
"15","Valparaíso",0.554,0.526,0.49,0.494,0.518,0.5,0.465,0.479,0.469,0.482,0.451,0.439
