V1,V2
,Bachillerato en Ciencias Sociales y
38032,
,Humanidades (1)
"FACULTAD DE ARQUITECTURA, ARTE Y DISE",
38083,Arquitectura
,Diseño (2)
38015,- Diseño Gráfico
,-Diseño Industrial
38285,Artes Visuales
FACULTAD DE CIENCIAS SOCIALES E HISTOR,
38162,Sociología
38163,Ciencia Política
38164,Historia
FACULTAD DE COMUNICACIÓN Y LETRAS,
38009,Periodismo
38013,Publicidad
38166,Literatura Creativa
FACULTAD DE DERECHO,
38004,Derecho (3)
FACULTAD DE ECONOMÍA Y EMPRESA (4),
,Ingeniería Comercial (5)
38003,- Economía
,- Ciencias de la Administración
38292,Ingeniería en Control de Gestión
38006,Contador Auditor-Contador Público
FACULTAD DE EDUCACIÓN,
38167,Pedagogía en Educación General Básica
38168,Pedagogía en Educación Parvularia
,Pedagogía en Educación Diferencial con
38326,
,mención en Desarrollo Cognitivo
38327,Pedagogía en Inglés
,Pedagogía Media en Historia y Ciencias
,Sociales
,Pedagogía Media  en Lengua Castellana y
,Comunicación
FACULTAD DE EDUCACIÓN,
38080,Ingeniería Civil Plan Común (6)
38174,Ingeniería Civil Industrial
,Ingeniería Civil en Informática y
38175,
,Telecomunciaciones
38176,Ingeniería Civil en Obras Civiles
FACULTAD DE MEDICINA,
38170,Medicina
FACULTAD DE PSICOLOGÍA,
38005,Psicología
38171,Odontología
,Tecnología Médica (7)
,"-Laboratorio Clínico, Hematología y Banco"
38172,de Sangre
,-Imaginología y Física Médica
,-Oftalmología y Optometría
38173,Enfermería
38323,Obstetricia y Neonatología
38325,Kinesiología
